Rank,Rank,State or territory,Census population[7][a],Census population[7][a],"Change,2010–2020[7][a]","Change,2010–2020[7][a]",House of Reps.[b],House of Reps.[b],"Pop. per elec. vote, 2020[c]",Census pop. per seat,Census pop. per seat,% of the total U.S. pop.[d],% of the total U.S. pop.[d],% of the total U.S. pop.[d],% of Elec. Coll.
30,29,Puerto Rico,"3,285,874","3,725,789",–‍11.8%,"–439,915",1*,—,—,—,—,0.98%,1.19%,–0.21%,—
31,35,Utah,"3,271,616","2,763,885",18.4%,"507,731",4,0.92%,"541,647","818,813","690,971",0.98%,0.88%,0.09%,1.12%
32,31,Iowa,"3,190,369","3,046,355",4.7%,"144,014",4,0.92%,"527,260","798,102","761,589",0.95%,0.97%,–0.02%,1.12%
33,36,Nevada,"3,104,614","2,700,551",15.0%,"404,063",4,0.92%,"523,043","777,116","675,138",0.93%,0.86%,0.06%,1.12%
34,33,Arkansas,"3,011,524","2,915,918",3.3%,"95,606",4,0.92%,"505,087","753,439","728,980",0.90%,0.93%,–0.03%,1.12%
35,32,Mississippi,"2,961,279","2,967,297",–0.2%,"–6,018",4,0.92%,"494,464","740,979","741,824",0.88%,0.95%,–0.06%,1.12%
36,34,Kansas,"2,937,880","2,853,118",3.0%,"84,762",4,0.92%,"485,634","735,216","713,280",0.88%,0.91%,–0.04%,1.12%
37,37,New Mexico,"2,117,522","2,059,179",2.8%,"58,343",3,0.69%,"421,264","706,740","686,393",0.63%,0.66%,–0.03%,0.93%
38,39,Nebraska,"1,961,504","1,826,341",7.4%,"135,163",3,0.69%,"387,510","654,444","608,780",0.59%,0.58%,0.00%,0.93%
39,40,Idaho,"1,839,106","1,567,582",17.3%,"271,524",2,0.46%,"456,728","920,689","783,791",0.55%,0.50%,0.05%,0.74%
40,38,West Virginia,"1,793,716","1,852,994",–3.2%,"–59,278",2,0.46%,"356,957","897,523","617,665",0.54%,0.59%,–0.06%,0.74%
41,41,Hawaii,"1,455,271","1,360,301",7.0%,"94,970",2,0.46%,"351,752","730,069","680,151",0.44%,0.43%,0.00%,0.74%
42,43,New Hampshire,"1,377,529","1,316,470",4.6%,"61,059",2,0.46%,"341,569","689,545","658,235",0.41%,0.42%,–0.01%,0.74%
43,42,Maine,"1,362,359","1,328,361",2.6%,"33,998",2,0.46%,"337,535","681,791","664,181",0.41%,0.42%,–0.02%,0.74%
44,44,Rhode Island,"1,097,379","1,052,567",4.3%,"44,812",2,0.46%,"264,281","549,082","526,284",0.33%,0.34%,–0.01%,0.74%
45,45,Montana,"1,084,225","989,415",9.6%,"94,810",2,0.46%,"360,192","542,704","989,415",0.32%,0.32%,0.01%,0.74%
46,46,Delaware,"989,948","897,934",10.2%,"92,014",1,0.23%,"328,936","990,837","897,934",0.30%,0.29%,0.01%,0.56%
47,47,South Dakota,"886,667","814,180",8.9%,"72,487",1,0.23%,"297,572","887,770","814,180",0.26%,0.26%,0.00%,0.56%
48,49,North Dakota,"779,094","672,591",15.8%,"106,503",1,0.23%,"255,103","779,702","672,591",0.23%,0.21%,0.02%,0.56%
49,48,Alaska,"733,391","710,231",3.3%,"23,160",1,0.23%,"243,719","736,081","710,231",0.22%,0.23%,–0.01%,0.56%
50,51,District of Columbia,"689,545","601,723",14.6%,"87,822",1*,—,"237,605",—,—,0.21%,0.19%,0.01%,0.56%
51,50,Vermont,"643,077","625,741",2.8%,"17,336",1,0.23%,"207,782","643,503","625,741",0.19%,0.20%,–0.01%,0.56%
52,52,Wyoming,"576,851","563,626",2.3%,"13,225",1,0.23%,"194,109","577,719","563,626",0.17%,0.18%,–0.01%,0.56%
53,53,Guam[8],"153,836","159,358",–3.5%,"–5,522",1*,—,—,—,—,0.05%,0.05%,–0.00%,—
54,54,U.S. Virgin Islands[9],"87,146","106,405",–18.1%,"–19,259",1*,—,—,—,—,0.03%,0.03%,–0.00%,—
55,55,American Samoa[10],"49,710","55,519",–10.5%,"–5,809",1*,—,—,—,—,0.01%,0.02%,–0.00%,—
56,56,Northern Mariana Islands[11],"47,329","53,883",–12.2%,"–6,554",1*,—,—,—,—,0.01%,0.02%,–0.00%,—
—,—,Contiguous United States,"329,260,619","306,675,006",7.4%,"+22,585,613",432(+1*),99.31%,"616,471","757,745","709,896",98.27%,98.03%,0.24%,98.70%
—,—,The 50 states,"330,759,736","308,143,815",7.3%,"+22,615,921",435,100%,"614,526","755,796","708,377",98.71%,98.50%,0.22%,99.44%
—,—,The 50 states and D.C.,"331,449,281","308,745,538",7.4%,"+22,703,743",435(+1*),100%,"612,424",—,—,98.92%,98.69%,0.23%,100%
—,—,Total United States,"335,073,176","312,846,492",7.1%,"+22,226,684",435(+6*),100%,—,—,—,100%,100%,—,—
